=== REPORT MIGRACE: TASK ===
Datum generování: Thu Apr 16 11:14:34 CEST 2026
Čas běhu: 151 s
----------------------------------------
Celkem ke zpracování: 14364
Úspěšně zmigrováno:   13961
Přeskočeno:           0
Chyby:                403
----------------------------------------

=== DETAIL CHYB ===
ID: 12990095 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13009330 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 13154566 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 13165399 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 13166005 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 13268305 | Fáze: Mapování a zápis | Chyba: No enum constant cz.centropol.actng.dataadapter.dst.entities.DSTTaskEventType.TASK_COWORK_START
ID: 13289294 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 13355753 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 13489107 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13497419 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 13499803 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 13529325 | Fáze: Mapování a zápis | Chyba: No enum constant cz.centropol.actng.dataadapter.dst.entities.DSTTaskEventType.TASK_COWORK_START
ID: 13593822 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13600023 | Fáze: Mapování a zápis | Chyba: No enum constant cz.centropol.actng.dataadapter.dst.entities.DSTTaskType.CO_WORK
ID: 13601039 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13613813 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 13614256 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 13616745 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13626684 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4940
ID: 13635102 | Fáze: Mapování a zápis | Chyba: No enum constant cz.centropol.actng.dataadapter.dst.entities.DSTTaskType.CO_WORK
ID: 13637367 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13640652 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 13645383 | Fáze: Mapování a zápis | Chyba: No enum constant cz.centropol.actng.dataadapter.dst.entities.DSTTaskEventType.TASK_COWORK_START
ID: 13647649 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13650721 | Fáze: Mapování a zápis | Chyba: No enum constant cz.centropol.actng.dataadapter.dst.entities.DSTTaskType.CO_WORK
ID: 13664366 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 13666412 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13677915 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13681499 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13686169 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13686883 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 13691021 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13697724 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13702610 | Fáze: Mapování a zápis | Chyba: No enum constant cz.centropol.actng.dataadapter.dst.entities.DSTTaskEventType.TASK_COWORK_START
ID: 13706978 | Fáze: Mapování a zápis | Chyba: No enum constant cz.centropol.actng.dataadapter.dst.entities.DSTTaskType.CO_WORK
ID: 13711718 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13717297 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13723536 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13756063 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13765547 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13767224 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13767511 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13768100 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13770479 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13772262 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13772425 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13772782 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13772913 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13772971 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13773054 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13773068 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13773087 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13773164 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13773302 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13773743 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13791140 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 13819961 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13823371 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13826704 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13839979 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13862856 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13867440 | Fáze: Mapování a zápis | Chyba: No enum constant cz.centropol.actng.dataadapter.dst.entities.DSTTaskEventType.TASK_COWORK_START
ID: 13882543 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 13895586 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13896151 | Fáze: Mapování a zápis | Chyba: No enum constant cz.centropol.actng.dataadapter.dst.entities.DSTTaskType.CO_WORK
ID: 13896279 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13902219 | Fáze: Mapování a zápis | Chyba: No enum constant cz.centropol.actng.dataadapter.dst.entities.DSTTaskType.CO_WORK
ID: 13922927 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 13928948 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13933352 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13951379 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13952759 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13959097 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4940
ID: 13959385 | Fáze: Mapování a zápis | Chyba: No enum constant cz.centropol.actng.dataadapter.dst.entities.DSTTaskType.CO_WORK
ID: 13959458 | Fáze: Mapování a zápis | Chyba: No enum constant cz.centropol.actng.dataadapter.dst.entities.DSTTaskType.CO_WORK
ID: 13967495 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13972537 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 13973573 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 13973793 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 13973798 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 13975986 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 13975991 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 13978161 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 13978508 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 13982013 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13982037 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13987410 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 13987976 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
